股票代码,股票名称,回购数量(股),最高回购价,最低回购价,回购平均价,回购总额(港元),日期
00700,腾讯控股,1017000.0,632.0,619.0,625.005,635630200.0,2026-01-15
00700,腾讯控股,1006000.0,638.0,626.0,632.172,635964600.0,2026-01-14
00700,腾讯控股,1012000.0,638.0,623.0,628.416,635956800.0,2026-01-13
00700,腾讯控股,1024000.0,627.0,614.0,620.789,635688200.0,2026-01-12
00700,腾讯控股,1039000.0,616.0,610.5,612.063,635933400.0,2026-01-09
700,腾讯控股,1034000.0,618.5,610.5,614.716,635616300.0,2026-01-08
700,腾讯控股,1023000.0,628.0,615.5,621.613,635910100.0,2026-01-07
700,腾讯控股,1003000.0,638.0,626.5,633.709,635610100.0,2026-01-06
700,腾讯控股,1018000.0,627.5,617.0,624.317,635554700.0,2026-01-05
700,腾讯控股,1029000.0,624.0,600.5,617.894,635812600.0,2026-01-02
700,腾讯控股,1061000.0,602.0,596.0,598.948,635483900.0,2025-12-31
700,腾讯控股,1062000.0,600.5,594.5,598.555,635665000.0,2025-12-30
700,腾讯控股,1057000.0,611.0,596.0,601.36,635637100.0,2025-12-29
700,腾讯控股,1056000.0,604.0,598.0,601.839,635541600.0,2025-12-24
700,腾讯控股,1051000.0,613.5,602.5,604.979,635832800.0,2025-12-23
700,腾讯控股,1035000.0,620.0,610.5,614.083,635576100.0,2025-12-22
700,腾讯控股,1038000.0,617.0,607.0,612.571,635848400.0,2025-12-19
700,腾讯控股,1055000.0,605.5,599.5,602.509,635647000.0,2025-12-18
700,腾讯控股,1057000.0,605.5,595.0,601.44,635722000.0,2025-12-17
700,腾讯控股,1067000.0,602.5,592.5,595.745,635660300.0,2025-12-16
700,腾讯控股,1051000.0,608.0,602.5,604.939,635790900.0,2025-12-15
700,腾讯控股,1044000.0,616.0,601.5,609.025,635822100.0,2025-12-12
700,腾讯控股,1054000.0,611.0,599.5,603.358,635939500.0,2025-12-11
700,腾讯控股,1060000.0,603.0,595.5,599.539,635511200.0,2025-12-10
700,腾讯控股,1056000.0,609.5,596.5,601.956,635665000.0,2025-12-09
700,腾讯控股,1049000.0,608.5,604.5,606.101,635799500.0,2025-12-08
700,腾讯控股,1046000.0,610.5,605.0,608.025,635993900.0,2025-12-05
700,腾讯控股,1044000.0,613.0,605.0,608.92,635712900.0,2025-12-04
700,腾讯控股,1040000.0,616.0,609.0,611.178,635624700.0,2025-12-03
700,腾讯控股,1028000.0,625.5,615.5,618.595,635915600.0,2025-12-02
700,腾讯控股,1029000.0,623.0,613.0,618.01,635932400.0,2025-12-01
700,腾讯控股,1039000.0,616.5,609.0,611.751,635609300.0,2025-11-28
700,腾讯控股,1036000.0,620.0,609.0,613.594,635683300.0,2025-11-27
700,腾讯控股,1022000.0,629.0,618.5,621.976,635659500.0,2025-11-26
700,腾讯控股,1014000.0,634.5,620.5,626.771,635545500.0,2025-11-25
700,腾讯控股,1022000.0,626.5,613.5,622.01,635694000.0,2025-11-24
700,腾讯控股,1042000.0,614.5,606.5,610.233,635862400.0,2025-11-21
700,腾讯控股,1026000.0,628.5,616.0,619.873,635989600.0,2025-11-20
700,腾讯控股,1018000.0,630.5,619.5,624.266,635502900.0,2025-11-19
700,腾讯控股,1013000.0,640.5,620.5,627.445,635602000.0,2025-11-18
700,腾讯控股,839000.0,669.0,648.0,655.986,550372200.0,2025-10-10
700,腾讯控股,816000.0,680.5,666.0,674.739,550587300.0,2025-10-09
700,腾讯控股,817000.0,680.0,669.5,674.405,550989100.0,2025-10-08
700,腾讯控股,815000.0,682.0,670.5,675.267,550342700.0,2025-10-06
700,腾讯控股,817000.0,680.0,670.5,673.696,550409400.0,2025-10-03
700,腾讯控股,812000.0,683.0,666.0,677.704,550295300.0,2025-10-02
700,腾讯控股,832000.0,666.5,657.5,662.212,550960200.0,2025-09-30
700,腾讯控股,837000.0,664.0,648.0,657.968,550718900.0,2025-09-29
700,腾讯控股,850000.0,652.5,640.0,647.437,550321800.0,2025-09-26
700,腾讯控股,844000.0,658.5,644.0,652.015,550300800.0,2025-09-25
700,腾讯控股,858000.0,650.5,628.5,641.649,550535200.0,2025-09-24
700,腾讯控股,867000.0,643.0,627.0,634.802,550373000.0,2025-09-23
700,腾讯控股,862000.0,643.0,635.0,638.517,550401300.0,2025-09-22
700,腾讯控股,857000.0,647.0,638.5,642.691,550786100.0,2025-09-19
700,腾讯控股,848000.0,664.0,636.0,648.975,550331100.0,2025-09-18
700,腾讯控股,839000.0,663.5,645.5,656.593,550881900.0,2025-09-17
700,腾讯控股,853000.0,649.0,641.0,645.462,550578800.0,2025-09-16
700,腾讯控股,856000.0,648.0,637.5,643.552,550880400.0,2025-09-15
700,腾讯控股,852000.0,649.0,642.0,646.052,550436500.0,2025-09-12
700,腾讯控股,874000.0,633.0,624.0,629.84,550480100.0,2025-09-11
700,腾讯控股,866000.0,638.5,628.5,635.59,550421100.0,2025-09-10
700,腾讯控股,883000.0,627.5,619.0,624.0,550991800.0,2025-09-09
700,腾讯控股,897000.0,618.5,605.5,613.738,550522800.0,2025-09-08
700,腾讯控股,913000.0,608.5,597.0,603.245,550762300.0,2025-09-05
700,腾讯控股,925000.0,605.0,591.0,595.226,550584400.0,2025-09-04
700,腾讯控股,916000.0,612.5,596.5,601.217,550715000.0,2025-09-03
700,腾讯控股,913000.0,608.0,599.5,602.798,550354200.0,2025-09-02
700,腾讯控股,910000.0,609.5,601.5,604.919,550476500.0,2025-09-01
700,腾讯控股,919000.0,605.0,594.5,598.803,550300000.0,2025-08-29
700,腾讯控股,927000.0,598.5,590.5,594.229,550849800.0,2025-08-28
700,腾讯控股,909000.0,614.5,596.0,605.375,550286000.0,2025-08-27
700,腾讯控股,899000.0,617.5,609.5,612.698,550815100.0,2025-08-26
700,腾讯控股,895000.0,620.0,608.5,615.372,550757900.0,2025-08-25
700,腾讯控股,917000.0,606.0,596.0,600.344,550515700.0,2025-08-22
700,腾讯控股,928000.0,597.0,590.0,593.584,550846000.0,2025-08-21
